planet_name,host_star,Number_of_stars,Number_of_planets,discovery_method,Discover_year,Discovery_facility,orbit_period_days,planet_radius_earth,planet_mass_earth,Planet_temperature,Orbital_shape,Distance_from_host_star,Host_star_temp,Host_star_radius,Host_star_mass,Host_star_age,Distance_from_earth,planet_type,habitable_zone_flag,multi_planet_system,Recent_discovery,Distance_category,star_type,Orbit_category
Kepler-1105 b,Kepler-1105,1,1,Transit,2016.0,Kepler,4.421572182,2.01,4.7,729.0,0.0,0.0471,4299.0,0.68,0.71,8.71,318.004,Mini-Neptune,No,No,False,Mid(100-500pc),K-type,Short(1-10d)
Kepler-1311 b,Kepler-1311,1,3,Transit,2016.0,Kepler,11.1726994,1.24,2.07,1019.0,0.0,0.10082,5748.0,1.4,1.05,7.59,866.331,Super-Earth,No,Yes,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
K2-58 c,K2-58,1,3,Transit,2016.0,K2,2.53726,1.62,3.26,818.0,0.0,0.035,5413.0,0.86,0.89,3.98,181.746,Super-Earth,No,Yes,False,Mid(100-500pc),G-type(Sun-like),Short(1-10d)
Kepler-1449 b,Kepler-1449,1,1,Transit,2016.0,Kepler,13.2274528,1.68,3.46,867.0,0.0,0.1176,5979.0,1.1,1.08,3.47,2006.48,Super-Earth,No,No,False,Distant(2k+pc),G-type(Sun-like),Medium(10-100d)
HD 38801 b,HD 38801,1,1,Radial Velocity,2009.0,Subaru Telescope,685.25,12.5,3082.31534,818.0,0.017,1.623,5338.0,2.029,1.207,6.072,91.4349,Gas Giant,No,No,False,Nearby(<100pc),G-type(Sun-like),Very-Long(365d+)
Kepler-389 c,Kepler-389,1,2,Transit,2014.0,Kepler,14.51143,1.46,2.73,636.0,0.0,0.11,5376.0,0.792,0.765,1.86,816.559,Super-Earth,No,Yes,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
Kepler-147 c,Kepler-147,1,2,Transit,2014.0,Kepler,33.416423,2.43,6.48,689.0,0.0,0.216,6012.0,1.468,1.145,5.5,1042.02,Mini-Neptune,No,Yes,False,Far(500-2kpc),F-type,Medium(10-100d)
GJ 1265 b,GJ 1265,1,1,Radial Velocity,2018.0,Calar Alto Observatory,3.6511,2.63,7.4,818.0,0.04,0.026,3236.0,0.192,0.178,3.98,10.2525,Mini-Neptune,No,No,False,Nearby(<100pc),M-type(Red Dwarf),Short(1-10d)
Kepler-604 b,Kepler-604,1,1,Transit,2016.0,Kepler,25.85501786,2.59,7.22,637.0,0.0,0.1735,5890.0,1.03,1.02,3.72,1026.49,Mini-Neptune,No,No,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
K2-12 b,K2-12,1,1,Transit,2015.0,K2,8.28246,2.44,5.2,1026.0,0.5,0.0792,5672.0,1.117,0.965,8.9,326.381,Mini-Neptune,No,No,False,Mid(100-500pc),G-type(Sun-like),Short(1-10d)
GJ 514 b,GJ 514,1,1,Radial Velocity,2022.0,Multiple Observatories,140.43,2.13,5.2,202.0,0.45,0.422,3728.0,0.5,0.51,0.8,7.61778,Mini-Neptune,Yes,No,True,Nearby(<100pc),K-type,Long(100-365d)
