planet_name,host_star,Number_of_stars,Number_of_planets,discovery_method,Discover_year,Discovery_facility,orbit_period_days,planet_radius_earth,planet_mass_earth,Planet_temperature,Orbital_shape,Distance_from_host_star,Host_star_temp,Host_star_radius,Host_star_mass,Host_star_age,Distance_from_earth,planet_type,habitable_zone_flag,multi_planet_system,Recent_discovery,Distance_category,star_type,Orbit_category
Kepler-1167 b,Kepler-1167,1,1,Transit,2016.0,Kepler,1.003933739,1.71,3.57,1419.0,0.0,0.0175,4971.0,0.75,0.79,4.27,820.905,Super-Earth,No,No,False,Far(500-2kpc),K-type,Short(1-10d)
Kepler-1740 b,Kepler-1740,1,1,Transit,2021.0,Kepler,8.172400475,3.32321414,11.0,858.0,0.0,0.0779,5705.0,0.905,0.943,3.98,1061.77,Mini-Neptune,No,No,True,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-1581 b,Kepler-1581,1,1,Transit,2016.0,Kepler,6.28385491,0.8,0.437,1108.0,0.0,0.06865,6022.0,1.23,1.12,4.17,493.175,Sub-Earth,No,No,False,Mid(100-500pc),F-type,Short(1-10d)
Kepler-644 b,Kepler-644,1,1,Transit,2016.0,Kepler,3.173917103,3.15,10.1,1655.0,0.0,0.04641,6747.0,1.81,1.49,1.62,1318.05,Mini-Neptune,No,No,False,Far(500-2kpc),F-type,Short(1-10d)
Kepler-1752 b,Kepler-1752,1,1,Transit,2021.0,Kepler,56.35850143,4.54060463,18.7,419.0,0.0,0.2698,5446.0,0.821,0.824,7.2,962.888,Neptune-like,No,No,True,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
Kepler-280 c,Kepler-280,1,2,Transit,2014.0,Kepler,4.807091,2.01,4.7,1088.0,0.0,0.056,5744.0,0.886,0.962,5.62,780.361,Mini-Neptune,No,Yes,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-1208 b,Kepler-1208,1,1,Transit,2016.0,Kepler,11.08507637,2.32,5.99,665.0,0.0,0.0901,5001.0,0.76,0.8,4.47,825.176,Mini-Neptune,No,No,False,Far(500-2kpc),K-type,Medium(10-100d)
Kepler-263 c,Kepler-263,1,2,Transit,2014.0,Kepler,47.332773,2.47,6.66,386.0,0.0,0.242,5265.0,0.785,0.793,2.24,754.747,Mini-Neptune,Yes,Yes,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
Kepler-1101 b,Kepler-1101,1,1,Transit,2016.0,Kepler,81.3151059,2.47,6.66,393.0,0.0,0.3483,5614.0,0.91,0.94,4.27,742.473,Mini-Neptune,Yes,No,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
HD 168746 b,HD 168746,1,1,Radial Velocity,2002.0,La Silla Observatory,6.404,11.1,85.8141,900.0,0.11,0.07,5570.0,1.09,1.07,8.0,41.5681,Gas Giant,No,No,False,Nearby(<100pc),G-type(Sun-like),Short(1-10d)
K2-19 b,K2-19,1,3,Transit,2015.0,K2,7.9222,7.0,32.4,779.0,0.2,0.074,5322.0,0.82,0.88,8.0,289.827,Gas Giant,No,Yes,False,Mid(100-500pc),G-type(Sun-like),Short(1-10d)
Kepler-560 b,Kepler-560,2,1,Transit,2016.0,Kepler,18.47764449,1.72,3.61,298.0,0.17,0.0899,3556.0,0.33,0.34,4.07,109.308,Super-Earth,Yes,No,False,Mid(100-500pc),M-type(Red Dwarf),Medium(10-100d)
Kepler-150 d,Kepler-150,1,5,Transit,2014.0,Kepler,12.56093,2.79,8.2,734.0,0.0,0.104,5560.0,0.939,0.956,1.74,891.092,Mini-Neptune,No,Yes,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
Kepler-498 b,Kepler-498,1,1,Transit,2016.0,Kepler,9.61375356,3.03,9.43,931.0,0.0,0.0897,5744.0,0.96,0.98,3.89,938.844,Mini-Neptune,No,No,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-817 b,Kepler-817,1,1,Transit,2016.0,Kepler,3.990106229,9.03,60.2,1124.0,0.0,0.0493,5861.0,1.03,1.03,3.55,1484.46,Gas Giant,No,No,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-937 b,Kepler-937,1,2,Transit,2016.0,Kepler,67.668827,3.72,13.4,495.0,0.0,0.3214,6095.0,1.22,1.15,3.24,1571.46,Neptune-like,No,Yes,False,Far(500-2kpc),F-type,Medium(10-100d)
K2-10 b,K2-10,1,1,Transit,2015.0,K2,19.30553,3.773,25.2,649.0,0.31,0.137,5533.0,0.956,0.88,3.98,272.36,Neptune-like,No,No,False,Mid(100-500pc),G-type(Sun-like),Medium(10-100d)
Kepler-571 b,Kepler-571,1,1,Transit,2016.0,Kepler,4.798599388,2.64,7.46,978.0,0.0,0.0546,5527.0,0.9,0.93,4.68,723.875,Mini-Neptune,No,No,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-1458 b,Kepler-1458,1,1,Transit,2016.0,Kepler,47.9872764,2.76,8.05,493.0,0.0,0.24869,5653.0,0.94,0.96,4.17,544.45,Mini-Neptune,No,No,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
K2-335 b,K2-335,1,1,Transit,2021.0,K2,12.283211,2.21,5.52,949.0,0.0,0.102015,6222.0,1.33,1.23,3.98,557.993,Mini-Neptune,No,No,True,Far(500-2kpc),F-type,Medium(10-100d)
Kepler-1600 c,Kepler-1600,1,2,Transit,2021.0,Kepler,7.298049927,1.94206512,4.43,786.0,0.0,0.06961,5119.0,0.834,0.818,6.92,1030.81,Mini-Neptune,No,Yes,True,Far(500-2kpc),K-type,Short(1-10d)
Kepler-221 d,Kepler-221,1,4,Transit,2014.0,Kepler,10.04156,2.73,3.61,712.0,0.0,0.087,5243.0,0.821,0.854,1.78,385.231,Mini-Neptune,No,Yes,False,Mid(100-500pc),G-type(Sun-like),Medium(10-100d)
Kepler-626 b,Kepler-626,1,1,Transit,2016.0,Kepler,14.48585199,2.29,5.86,784.0,0.0,0.10913,5813.0,1.05,1.01,5.37,635.643,Mini-Neptune,No,No,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
Kepler-1549 b,Kepler-1549,1,1,Transit,2016.0,Kepler,214.886545,2.57,7.13,286.0,0.0,0.6687,5324.0,0.84,0.88,4.79,803.052,Mini-Neptune,Yes,No,False,Far(500-2kpc),G-type(Sun-like),Long(100-365d)
K2-62 c,K2-62,1,2,Transit,2016.0,K2,16.19697,1.99,4.62,495.0,0.0,0.1148,4455.0,0.696,0.67,3.98,112.467,Mini-Neptune,No,Yes,False,Mid(100-500pc),K-type,Medium(10-100d)
Kepler-1149 b,Kepler-1149,1,1,Transit,2016.0,Kepler,3.73089898,1.44,2.67,1128.0,0.0,0.0473,5833.0,1.01,1.02,3.98,1217.73,Super-Earth,No,No,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-1288 b,Kepler-1288,1,1,Transit,2016.0,Kepler,2.76122421,1.12,1.46,2017.0,0.0,0.04135,6132.0,1.29,1.2,2.88,814.078,Super-Earth,No,No,False,Far(500-2kpc),F-type,Short(1-10d)
Kepler-128 b,Kepler-128,1,2,Transit,2013.0,Kepler,15.0,1.421,3.79,968.0,0.0,0.12545,6072.0,1.659,1.184,4.07,396.379,Super-Earth,No,Yes,False,Mid(100-500pc),F-type,Medium(10-100d)
Kepler-1245 b,Kepler-1245,1,2,Transit,2016.0,Kepler,4.35409304,1.44,2.67,1043.0,0.0,0.0484,5306.0,0.83,0.86,4.57,805.936,Super-Earth,No,Yes,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-1068 b,Kepler-1068,1,1,Transit,2016.0,Kepler,16.92344113,3.63,12.8,702.0,0.0,0.13038,5806.0,1.01,1.01,4.17,1473.61,Neptune-like,No,No,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
Kepler-311 c,Kepler-311,1,3,Transit,2014.0,Kepler,19.738286,1.43,2.63,744.0,0.0,0.145,5905.0,1.188,0.994,1.95,778.654,Super-Earth,No,Yes,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
Kepler-150 e,Kepler-150,1,5,Transit,2014.0,Kepler,30.826557,3.12,9.91,544.0,0.0,0.189,5560.0,0.939,0.956,1.74,891.092,Mini-Neptune,No,Yes,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
Kepler-272 c,Kepler-272,1,3,Transit,2014.0,Kepler,6.057342,1.79,97.8,947.0,0.0,0.061,5297.0,0.929,0.91,13.18,889.608,Mini-Neptune,No,Yes,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-152 c,Kepler-152,1,2,Transit,2014.0,Kepler,88.255055,2.39,6.3,326.0,0.0,0.356,5088.0,0.724,0.779,2.0,441.09,Mini-Neptune,Yes,Yes,False,Mid(100-500pc),K-type,Medium(10-100d)
Kepler-1506 b,Kepler-1506,1,1,Transit,2016.0,Kepler,14.0329154,1.32,2.3,783.0,0.0,0.1168,5676.0,0.93,0.95,3.98,2366.02,Super-Earth,No,No,False,Distant(2k+pc),G-type(Sun-like),Medium(10-100d)
CoRoT-3 b,CoRoT-3,1,1,Transit,2008.0,CoRoT,4.2568,11.32,6883.91,1695.0,0.0,0.05783,6740.0,1.56,1.37,2.2,768.771,Gas Giant,No,No,False,Far(500-2kpc),F-type,Short(1-10d)
HD 205739 b,HD 205739,1,1,Radial Velocity,2008.0,Las Campanas Observatory,279.8,13.6,435.41,818.0,0.27,0.896,6176.0,1.33,1.22,2.84,92.5087,Gas Giant,No,No,False,Nearby(<100pc),F-type,Long(100-365d)
NGTS-10 b,NGTS-10,1,1,Transit,2020.0,Next-Generation Transit Survey (NGTS),0.7668944,13.506845,687.14846,1332.0,0.0,0.0143,4600.0,0.697,0.696,10.4,324.69865036,Gas Giant,No,No,True,Mid(100-500pc),K-type,Ultra-Short(<1d)
HD 224693 b,HD 224693,1,1,Radial Velocity,2006.0,W. M. Keck Observatory,26.6904,14.0,222.481,818.0,0.104,0.191,5894.0,1.93,1.31,4.12,93.5015,Gas Giant,No,No,False,Nearby(<100pc),G-type(Sun-like),Medium(10-100d)
HD 156279 b,HD 156279,1,2,Radial Velocity,2011.0,Haute-Provence Observatory,133.40355,12.5,2997.75753482,818.0,0.647,0.502,5453.0,0.95,0.94,4.1,36.1945,Gas Giant,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Long(100-365d)
HD 12661 b,HD 12661,1,2,Radial Velocity,2000.0,Multiple Observatories,262.70862,13.3,772.3269,818.0,0.38,0.84,5645.0,1.2,1.2,6.39,37.8478,Gas Giant,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Long(100-365d)
HD 16417 b,HD 16417,2,1,Radial Velocity,2008.0,Anglo-Australian Telescope,17.24,5.0,22.1,818.0,0.2,0.14,5841.0,1.639984,1.2,7.0,25.3936,Neptune-like,No,No,False,Nearby(<100pc),G-type(Sun-like),Medium(10-100d)
HD 19994 b,HD 19994,3,1,Radial Velocity,2003.0,La Silla Observatory,466.2,13.6,435.41,818.0,0.063,1.305,6188.0,1.79647,1.365,2.4,22.5242,Gas Giant,No,No,False,Nearby(<100pc),F-type,Very-Long(365d+)
HD 156279 c,HD 156279,1,2,Radial Velocity,2018.0,W. M. Keck Observatory,4818.25358,12.5,3098.82696825,818.0,0.261,5.486,5453.0,0.95,0.94,4.1,36.1945,Gas Giant,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Very-Long(365d+)
GJ 179 b,GJ 179,1,1,Radial Velocity,2009.0,W. M. Keck Observatory,2288.0,13.8,301.93698665,818.0,0.21,2.41,3370.0,0.38,0.357,3.98,12.356,Gas Giant,No,No,False,Nearby(<100pc),M-type(Red Dwarf),Very-Long(365d+)
GQ Lup b,GQ Lup,1,1,Imaging,2004.0,Paranal Observatory,11.12522242,33.6,6356.0,2650.0,0.0,100.0,4360.0,1.94153,0.7,0.001,151.169,Super-Jupiter,No,No,False,Mid(100-500pc),K-type,Unknown
GJ 832 b,GJ 832,1,1,Radial Velocity,2008.0,Anglo-Australian Telescope,3853.0,13.8,314.65012293,818.0,0.05,3.7,3472.0,0.441557,0.45,8.1,4.96435,Gas Giant,No,No,False,Nearby(<100pc),M-type(Red Dwarf),Very-Long(365d+)
HD 37605 b,HD 37605,1,2,Radial Velocity,2004.0,McDonald Observatory,55.01292,13.2,854.9627,818.0,0.6745,0.277,5329.0,0.91,0.94,5.65,46.7864,Gas Giant,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Medium(10-100d)
HD 33283 b,HD 33283,2,1,Radial Velocity,2006.0,W. M. Keck Observatory,18.1991,12.5,104.56607,818.0,0.399,0.1508,5935.0,1.97,1.38,3.63,89.8623,Gas Giant,No,No,False,Nearby(<100pc),G-type(Sun-like),Medium(10-100d)
HD 9446 b,HD 9446,1,2,Radial Velocity,2009.0,Haute-Provence Observatory,30.052,14.0,222.472,818.0,0.2,0.189,5793.0,1.0,1.0,3.98,50.3503,Gas Giant,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Medium(10-100d)
HD 134987 c,HD 134987,1,2,Radial Velocity,2009.0,Multiple Observatories,5000.0,13.9,260.0,818.0,0.12,5.8,5585.0,1.25,1.1,8.4,26.1804,Gas Giant,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Very-Long(365d+)
HD 110014 b,HD 110014,1,1,Radial Velocity,2009.0,La Silla Observatory,835.477,12.4,3524.59,818.0,0.462,2.14,4445.0,20.9,2.17,0.95,100.758,Gas Giant,No,No,False,Mid(100-500pc),K-type,Very-Long(365d+)
HD 79498 b,HD 79498,2,1,Radial Velocity,2011.0,McDonald Observatory,1807.0,13.6,425.8922,818.0,0.575,2.98,5748.0,1.05,1.08,2.71,48.9489,Gas Giant,No,No,False,Nearby(<100pc),G-type(Sun-like),Very-Long(365d+)
HD 45652 b,HD 45652,1,1,Radial Velocity,2008.0,Haute-Provence Observatory,44.073,14.3,137.62039,818.0,0.607,0.237,5294.0,0.94,0.92,8.4,34.8541,Super-Jupiter,No,No,False,Nearby(<100pc),G-type(Sun-like),Medium(10-100d)
HIP 79431 b,HIP 79431,1,1,Radial Velocity,2009.0,W. M. Keck Observatory,111.7,13.4,667.415,818.0,0.29,0.36,3191.0,0.478625,0.49,3.98,14.5324,Gas Giant,No,No,False,Nearby(<100pc),M-type(Red Dwarf),Long(100-365d)
HD 3167 b,HD 3167,1,4,Transit,2016.0,K2,0.959641,1.67,4.97,1774.0,0.0,0.01796,5261.0,0.88,0.837,7.8,47.2899,Super-Earth,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Ultra-Short(<1d)
GJ 876 b,GJ 876,1,4,Radial Velocity,1998.0,Multiple Observatories,61.1166,13.3,723.2235,818.0,0.0324,0.208317,3293.74,0.3,0.32,1.0,4.67517,Gas Giant,No,Yes,False,Nearby(<100pc),M-type(Red Dwarf),Medium(10-100d)
HD 114783 c,HD 114783,1,2,Radial Velocity,2018.0,W. M. Keck Observatory,4352.0,13.4,603.8739733,818.0,0.05,5.0,5135.0,0.840622,0.9,6.0,21.0628,Gas Giant,No,Yes,False,Nearby(<100pc),K-type,Very-Long(365d+)
HD 47186 c,HD 47186,1,2,Radial Velocity,2008.0,La Silla Observatory,1353.6,13.0,111.42,818.0,0.249,2.395,5657.0,1.08,0.96,6.5,37.4574,Gas Giant,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Very-Long(365d+)
HD 114783 b,HD 114783,1,2,Radial Velocity,2001.0,W. M. Keck Observatory,493.7,13.7,349.6,818.0,0.144,1.16,5135.0,0.840622,0.853,6.0,21.0628,Gas Giant,No,Yes,False,Nearby(<100pc),K-type,Very-Long(365d+)
HD 148156 b,HD 148156,1,1,Radial Velocity,2009.0,La Silla Observatory,1027.0,13.9,270.144,818.0,0.52,2.45,6308.0,1.21,1.22,3.98,57.1289,Gas Giant,No,No,False,Nearby(<100pc),F-type,Very-Long(365d+)
HD 12661 c,HD 12661,1,2,Radial Velocity,2002.0,Multiple Observatories,1708.0,13.2,899.45439181,818.0,0.031,2.8145,5748.0,1.11,1.02,6.39,37.8478,Gas Giant,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Very-Long(365d+)
HIP 14810 c,HIP 14810,1,3,Radial Velocity,2006.0,W. M. Keck Observatory,147.747,13.6,416.3573,818.0,0.1566,0.549,5544.0,1.07,1.01,5.84,50.48,Gas Giant,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Long(100-365d)
HIP 14810 b,HIP 14810,1,3,Radial Velocity,2005.0,W. M. Keck Observatory,6.673892,13.0,1239.537,818.0,0.14399,0.0696,5544.0,1.07,1.01,5.84,50.48,Gas Giant,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Short(1-10d)
GJ 876 d,GJ 876,1,4,Radial Velocity,2005.0,W. M. Keck Observatory,1.93778,2.51,6.83,818.0,0.207,0.02080665,3293.74,0.3,0.32,1.0,4.67517,Mini-Neptune,No,Yes,False,Nearby(<100pc),M-type(Red Dwarf),Short(1-10d)
GJ 876 e,GJ 876,1,4,Radial Velocity,2010.0,W. M. Keck Observatory,124.26,3.92,14.6,818.0,0.055,0.3343,3293.74,0.3,0.32,1.0,4.67517,Neptune-like,No,Yes,False,Nearby(<100pc),M-type(Red Dwarf),Long(100-365d)
gam1 Leo b,gam1 Leo,2,1,Radial Velocity,2009.0,Bohyunsan Optical Astronomical Observatory,428.5,12.5,2790.43,818.0,0.144,1.19,4330.0,31.88,1.23,2.412,39.8883,Gas Giant,No,No,False,Nearby(<100pc),K-type,Very-Long(365d+)
HD 156411 b,HD 156411,1,1,Radial Velocity,2009.0,La Silla Observatory,842.2,14.0,235.18,818.0,0.22,1.88,5900.0,2.16,1.25,4.28,56.8655,Gas Giant,No,No,False,Nearby(<100pc),G-type(Sun-like),Very-Long(365d+)
HD 8535 b,HD 8535,2,1,Radial Velocity,2010.0,La Silla Observatory,1313.0,14.0,216.1244,818.0,0.15,2.45,6136.0,1.19,1.13,3.98,55.4401,Gas Giant,No,No,False,Nearby(<100pc),F-type,Very-Long(365d+)
HD 37605 c,HD 37605,1,2,Radial Velocity,2012.0,Multiple Observatories,2720.0,13.1,1013.8777,818.0,0.03,3.74,5329.0,0.91,0.94,5.65,46.7864,Gas Giant,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Very-Long(365d+)
HD 1605 c,HD 1605,1,2,Radial Velocity,2015.0,Multiple Observatories,2149.0,13.0,1150.5446,818.0,0.099,3.584,4915.0,3.49,1.33,4.36,88.8047,Gas Giant,No,Yes,False,Nearby(<100pc),K-type,Very-Long(365d+)
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009.0,McDonald Observatory,379.63,12.1,6807.63,818.0,0.15,1.45,4137.0,49.0,2.8,3.98,1539.71,Gas Giant,No,Yes,False,Far(500-2kpc),K-type,Very-Long(365d+)
HD 240210 b,HD 240210,1,1,Radial Velocity,2009.0,McDonald Observatory,501.75,12.8,1655.82,818.0,0.15,1.16,4297.0,25.456816,0.82,5.085,372.405,Gas Giant,No,No,False,Mid(100-500pc),K-type,Very-Long(365d+)
CoRoT-17 b,CoRoT-17,1,1,Transit,2011.0,CoRoT,3.7681,11.43,772.29,1626.0,0.0,0.0461,5740.0,1.59,1.04,10.7,1176.12,Gas Giant,No,No,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
HD 132563 b,HD 132563,3,1,Radial Velocity,2011.0,Roque de los Muchachos Observatory,1544.0,13.6,473.547,818.0,0.22,2.62,6289.0,1.29577,1.231,2.31,105.155,Gas Giant,No,No,False,Mid(100-500pc),F-type,Very-Long(365d+)
HD 55696 b,HD 55696,1,1,Radial Velocity,2018.0,W. M. Keck Observatory,1827.0,12.9,1357.12729789,818.0,0.705,3.18,6012.0,1.52,1.29,2.64,77.9693,Gas Giant,No,No,False,Nearby(<100pc),F-type,Very-Long(365d+)
HD 148164 b,HD 148164,1,2,Radial Velocity,2018.0,W. M. Keck Observatory,328.55,13.7,390.9309,818.0,0.587,0.993,6032.0,1.34,1.21,2.41,77.1971,Gas Giant,No,Yes,False,Nearby(<100pc),F-type,Long(100-365d)
24 Sex c,24 Sex,1,2,Radial Velocity,2010.0,Lick Observatory,883.0,13.9,273.32,818.0,0.29,2.08,5098.0,4.9,1.54,2.7,72.0691,Gas Giant,No,Yes,False,Nearby(<100pc),K-type,Very-Long(365d+)
HD 22781 b,HD 22781,1,1,Radial Velocity,2011.0,Haute-Provence Observatory,528.07,12.3,4338.2,818.0,0.8191,1.167,5027.0,0.743475,0.75,4.8,32.6034,Gas Giant,No,No,False,Nearby(<100pc),K-type,Very-Long(365d+)
HD 68988 b,HD 68988,1,2,Radial Velocity,2001.0,Multiple Observatories,6.27711,13.4,626.1251,818.0,0.12,0.07,5932.0,1.19,1.28,6.0,60.8447,Gas Giant,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Short(1-10d)
HD 148164 c,HD 148164,1,2,Radial Velocity,2018.0,W. M. Keck Observatory,5062.0,12.8,1640.0028,818.0,0.125,6.15,6032.0,1.34,1.21,2.41,77.1971,Gas Giant,No,Yes,False,Nearby(<100pc),F-type,Very-Long(365d+)
HD 29985 b,HD 29985,1,1,Radial Velocity,2022.0,Multiple Observatories,20608.14049,12.8,1739.47487151,818.0,0.261,13.39,4678.0,0.574666,0.75,3.98,31.2707,Gas Giant,No,No,True,Nearby(<100pc),K-type,Very-Long(365d+)
HD 3167 c,HD 3167,1,4,Transit,2016.0,K2,29.8454,3.0,11.13,564.0,0.06,0.1776,5261.0,0.88,0.837,7.8,47.2899,Mini-Neptune,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Medium(10-100d)
HD 90156 b,HD 90156,1,1,Radial Velocity,2009.0,La Silla Observatory,49.77,4.43,17.98,818.0,0.31,0.25,5599.0,0.920286,0.84,4.4,21.9496,Neptune-like,No,No,False,Nearby(<100pc),G-type(Sun-like),Medium(10-100d)
HD 45350 b,HD 45350,1,1,Radial Velocity,2004.0,W. M. Keck Observatory,963.6,13.5,568.89,818.0,0.778,1.92,5566.0,1.26442,0.98,8.0,46.8733,Gas Giant,No,No,False,Nearby(<100pc),G-type(Sun-like),Very-Long(365d+)
MOA-2009-BLG-266L b,MOA-2009-BLG-266L,1,1,Microlensing,2011.0,MOA,2800.0,3.21,10.4,818.0,0.0,3.2,5546.0,0.9516899999999999,0.56,3.98,3040.0,Mini-Neptune,No,No,False,Distant(2k+pc),Unknown,Very-Long(365d+)
Kepler-595 c,Kepler-595,1,2,Transit,2020.0,Kepler,12.38602,1.009,3.3,679.0,0.0,0.0983,5138.5,0.821,0.93,2.7,643.009,Super-Earth,No,Yes,True,Far(500-2kpc),K-type,Medium(10-100d)
Kepler-595 b,Kepler-595,1,2,Transit,2016.0,Kepler,25.3029092,3.708,17.4,535.0,0.0,0.1582,5138.5,0.821,0.93,2.7,643.009,Neptune-like,No,Yes,False,Far(500-2kpc),K-type,Medium(10-100d)
HD 177830 c,HD 177830,2,2,Radial Velocity,2010.0,W. M. Keck Observatory,110.9,7.87,47.6725,818.0,0.3,0.5137,4949.0,2.62,1.47,4.4,62.7674,Gas Giant,No,Yes,False,Nearby(<100pc),K-type,Long(100-365d)
OGLE-TR-111 b,OGLE-TR-111,1,1,Transit,2004.0,OGLE,4.0144463,11.421971,174.799,1019.0,0.0,0.0473,5040.0,0.83,0.82,8.8,1068.33,Gas Giant,No,No,False,Far(500-2kpc),K-type,Short(1-10d)
PSR B1257+12 b,PSR B1257+12,1,3,Pulsar Timing,1994.0,Arecibo Observatory,25.262,0.338,0.02,818.0,0.0,0.19,5546.0,0.9516899999999999,1.4,3.0,600.0,Sub-Earth,No,Yes,False,Far(500-2kpc),Unknown,Medium(10-100d)
PSR B1257+12 d,PSR B1257+12,1,3,Pulsar Timing,1992.0,Arecibo Observatory,98.2114,1.8,3.9,818.0,0.0264,0.46,5546.0,0.9516899999999999,1.4,3.0,600.0,Mini-Neptune,No,Yes,False,Far(500-2kpc),Unknown,Medium(10-100d)
MOA-2007-BLG-192L b,MOA-2007-BLG-192L,1,1,Microlensing,2008.0,MOA,11.12522242,1.63,3.3,818.0,0.0,0.62,5546.0,0.9516899999999999,0.06,3.98,1000.0,Super-Earth,No,No,False,Far(500-2kpc),Unknown,Unknown
CoRoT-18 b,CoRoT-18,1,1,Transit,2011.0,CoRoT,1.9000693,14.68,1102.82,1550.0,0.08,0.0295,5440.0,1.0,0.95,0.6,764.889,Super-Jupiter,No,No,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-45 b,Kepler-45,1,1,Transit,2011.0,Kepler,2.455239,10.76,160.497,1000.0,0.11,0.03,3820.0,0.55,0.59,0.5,381.949,Gas Giant,No,No,False,Mid(100-500pc),K-type,Short(1-10d)
WASP-23 b,WASP-23,1,1,Transit,2010.0,SuperWASP,2.9444256,10.783,280.95,1076.55,0.062,0.0376,5150.0,0.765,0.78,6.2,207.49,Gas Giant,No,No,False,Mid(100-500pc),K-type,Short(1-10d)
HD 107148 b,HD 107148,2,2,Radial Velocity,2005.0,W. M. Keck Observatory,48.056,9.6,66.741,818.0,0.05,0.269,5797.0,1.169193,1.12,5.6,49.4156,Gas Giant,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Medium(10-100d)
SWEEPS-11 b,SWEEPS-11,1,1,Transit,2006.0,Hubble Space Telescope,1.796,12.666,3082.82,818.0,0.0,0.03,5546.0,1.45,1.1,3.98,8500.0,Gas Giant,No,No,False,Distant(2k+pc),Unknown,Short(1-10d)
OGLE-TR-211 b,OGLE-TR-211,1,1,Transit,2007.0,OGLE,3.67724,15.244,327.351,1686.0,0.0,0.051,6325.0,1.64,1.33,2.6,1515.26,Super-Jupiter,No,No,False,Far(500-2kpc),F-type,Short(1-10d)
Lupus-TR-3 b,Lupus-TR-3,1,1,Transit,2007.0,Multiple Observatories,3.91405,9.976,257.431,818.0,0.0,0.0464,5000.0,0.82,0.87,3.98,773.409,Gas Giant,No,No,False,Far(500-2kpc),K-type,Short(1-10d)
OGLE-2005-BLG-390L b,OGLE-2005-BLG-390L,1,1,Microlensing,2005.0,OGLE,3285.0,2.21,5.5,50.0,0.0,2.6,5546.0,0.9516899999999999,0.22,3.98,6600.0,Mini-Neptune,No,No,False,Distant(2k+pc),Unknown,Very-Long(365d+)
HN Peg b,HN Peg,1,1,Imaging,2006.0,Spitzer Space Telescope,11.12522242,11.7768,6991.57,818.0,0.0,773.0,6186.0,1.006954,1.08,0.3,18.1186,Gas Giant,No,No,False,Nearby(<100pc),F-type,Unknown
MOA-2009-BLG-387L b,MOA-2009-BLG-387L,1,1,Microlensing,2010.0,MOA,1980.0,13.2,830.0,818.0,0.0,1.8,5546.0,0.9516899999999999,0.19,3.98,5690.0,Gas Giant,No,No,False,Distant(2k+pc),Unknown,Very-Long(365d+)
GJ 674 b,GJ 674,1,1,Radial Velocity,2007.0,La Silla Observatory,4.6938,3.33,11.09,818.0,0.2,0.039,3600.0,0.36463,0.35,0.55,4.54896,Mini-Neptune,No,No,False,Nearby(<100pc),M-type(Red Dwarf),Short(1-10d)
CoRoT-11 b,CoRoT-11,1,1,Transit,2010.0,CoRoT,2.99433,16.03,740.51,1657.0,0.0,0.0436,6440.0,1.37,1.27,2.0,655.037,Super-Jupiter,No,No,False,Far(500-2kpc),F-type,Short(1-10d)
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010.0,Hubble Space Telescope,11.12522242,12.6,2383.6,818.0,0.0,15.0,2936.0,0.231916,0.019,0.001,120.42398696,Gas Giant,No,No,False,Mid(100-500pc),M-type(Red Dwarf),Unknown
